"time","s","e1","e2","ia","is","r","d"
0,9000,1000,0,0,0,0,0
1,8997,803,200,0,0,0,0
2,8982,672,317,12,17,0,0
3,8954,556,398,52,39,0,1
4,8910,476,438,83,75,12,6
5,8861,414,453,124,104,31,13
6,8810,394,422,154,141,59,20
7,8772,318,451,183,159,82,35
8,8729,277,455,188,176,121,54
9,8692,243,430,200,202,163,70
10,8651,217,413,217,216,197,89
11,8610,193,392,217,222,250,116
12,8569,183,357,229,225,295,142
13,8519,162,330,233,248,340,168
14,8487,146,315,224,249,387,192
15,8450,144,290,201,242,456,217
16,8419,143,251,193,238,506,250
17,8395,134,232,175,227,558,279
18,8376,128,213,161,203,609,310
19,8355,110,200,163,190,647,335
20,8335,107,182,157,169,690,360
21,8324,90,168,147,160,731,380
22,8307,83,155,130,154,772,399
23,8298,76,134,129,140,803,420
24,8280,69,126,119,122,847,437
25,8262,66,113,114,114,878,453
26,8255,56,101,103,100,909,476
27,8246,48,91,102,90,926,497
28,8239,43,78,99,85,949,507
29,8229,47,60,99,75,971,519
30,8224,41,54,95,72,988,526
31,8219,36,57,88,59,1006,535
32,8205,42,53,79,54,1027,540
33,8202,37,49,56,52,1056,548
34,8197,34,49,50,43,1070,557
35,8184,36,51,49,39,1079,562
36,8178,34,44,49,36,1092,567
37,8167,40,37,42,32,1104,578
38,8155,44,36,33,36,1116,580
39,8147,41,37,33,34,1123,585
40,8143,36,42,26,30,1134,589
41,8132,36,49,21,27,1141,594
42,8130,32,44,23,28,1146,597
43,8120,31,44,24,30,1150,601
44,8111,35,39,21,35,1157,602
45,8104,37,40,22,32,1161,604
46,8098,36,40,22,27,1167,610
47,8090,30,45,18,28,1177,612
48,8086,26,45,19,24,1183,617
49,8074,32,41,23,21,1188,621
50,8072,28,36,25,26,1190,623
51,8057,38,31,24,26,1198,626
52,8051,35,29,28,25,1206,626
53,8044,33,29,30,25,1212,627
54,8037,32,26,25,25,1225,630
55,8031,34,25,28,19,1228,635
56,8022,37,27,27,16,1234,637
57,8011,41,27,24,17,1240,640
58,8009,36,27,20,18,1248,642
59,8006,31,30,17,18,1252,646
60,7998,33,33,16,17,1255,648
61,7989,32,38,16,16,1259,650
62,7979,33,38,18,17,1262,653
63,7973,32,39,16,14,1266,660
64,7969,28,36,19,17,1269,662
65,7959,29,38,20,15,1271,668
66,7952,29,39,17,14,1277,672
67,7947,30,34,16,16,1281,676
68,7939,32,32,17,20,1283,677
69,7931,31,29,19,21,1289,680
70,7924,28,37,19,21,1290,681
71,7923,22,38,21,19,1294,683
72,7920,22,35,19,20,1299,685
73,7913,21,35,19,21,1304,687
74,7906,23,30,22,23,1307,689
75,7902,21,26,26,24,1309,692
76,7896,21,28,24,23,1313,695
77,7891,21,28,20,20,1322,698
78,7885,22,28,17,17,1330,701
79,7882,17,31,17,17,1334,702
80,7875,20,31,16,15,1338,705
81,7870,22,24,11,22,1345,706
82,7867,25,21,11,20,1349,707
83,7864,23,20,10,19,1355,709
84,7856,26,21,10,21,1356,710
85,7851,24,22,12,17,1359,715
86,7844,26,26,11,15,1362,716
87,7836,22,35,11,12,1365,719
88,7829,23,30,12,18,1367,721
89,7823,26,24,15,20,1370,722
90,7823,21,23,16,20,1374,723
91,7823,14,28,15,16,1377,727
92,7823,11,27,14,16,1381,728
93,7823,8,24,14,17,1385,729
94,7823,7,20,14,15,1389,732
95,7823,5,20,14,14,1391,733
96,7823,5,19,12,9,1396,736
97,7823,4,16,13,8,1399,737
98,7823,4,12,13,7,1403,738
99,7823,2,8,13,6,1407,741
100,7823,0,9,7,7,1413,741
101,7823,0,7,5,7,1415,743
102,7823,0,4,5,7,1417,744
103,7823,0,3,2,6,1421,745
104,7823,0,1,1,5,1424,746
105,7823,0,1,1,4,1424,747
106,7823,0,1,1,3,1424,748
107,7823,0,0,1,2,1425,749
108,7823,0,0,1,1,1426,749
109,7823,0,0,1,1,1426,749
110,7823,0,0,1,1,1426,749
111,7823,0,0,1,1,1426,749
112,7823,0,0,0,0,1428,749
